,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
0,Pandan Niog,6.2282,120.5631,83.14,70,4.07,17,PH,1619741475
1,Chui,-33.6971,-53.4616,56.86,77,3.09,0,UY,1619741475
2,Punta Arenas,-53.15,-70.9167,41.0,93,8.05,90,CL,1619741476
3,Puerto Ayora,-0.7393,-90.3518,76.62,80,9.04,46,EC,1619741476
4,Ancud,-41.8697,-73.8203,57.99,88,16.11,75,CL,1619741476
5,Khatanga,71.9667,102.5,31.55,93,7.43,100,RU,1619741477
6,Porto-Novo,6.4965,2.6036,82.4,83,4.61,20,BJ,1619741477
7,Silopi,37.2497,42.4694,68.54,40,5.48,43,TR,1619741478
8,Thompson,55.7435,-97.8558,33.8,40,14.97,20,CA,1619741478
9,Rikitea,-23.1203,-134.9692,76.44,67,10.69,89,PF,1619741479
10,Guerrero Negro,27.9769,-114.0611,70.12,52,17.74,0,MX,1619741479
11,Naze,28.3667,129.4833,69.8,78,13.8,0,JP,1619741480
12,Fortuna,40.5982,-124.1573,66.99,48,13.8,1,US,1619741480
13,Provideniya,64.3833,-173.3,33.8,64,2.24,20,RU,1619741480
14,Lüderitz,-26.6481,15.1594,56.32,77,22.5,0,NA,1619741481
15,Moose Factory,51.2585,-80.6094,48.2,66,11.5,90,CA,1619741481
16,Albany,42.6001,-73.9662,55.99,90,1.01,100,US,1619741185
17,Talnakh,69.4865,88.3972,30.15,92,4.05,98,RU,1619741226
18,Nanortalik,60.1432,-45.2371,37.22,84,9.95,9,GL,1619741482
19,Stjørdalshalsen,63.4681,10.9262,35.01,80,5.75,0,NO,1619741482
20,Hermanus,-34.4187,19.2345,57.0,74,5.99,46,ZA,1619741483
21,Port Alfred,-33.5906,26.891,63.39,73,13.04,100,ZA,1619741483
22,Busselton,-33.65,115.3333,48.99,100,1.01,81,AU,1619741484
23,Bluff,-46.6,168.3333,54.0,77,15.01,80,NZ,1619741484
24,Upernavik,72.7868,-56.1549,26.67,66,3.94,95,GL,1619741484
25,Mogadishu,2.0371,45.3438,82.24,77,9.17,88,SO,1619741485
26,Atuona,-9.8,-139.0333,79.52,69,5.12,3,PF,1619741485
27,Oistins,13.0667,-59.5333,77.0,65,11.5,20,BB,1619741460
28,Najrān,17.4924,44.1277,73.4,56,2.3,75,SA,1619741486
29,Inongo,-1.95,18.2667,72.16,97,4.07,100,CD,1619741486
30,Pauini,-7.7136,-66.9764,73.17,96,0.51,100,BR,1619741487
31,Chokurdakh,70.6333,147.9167,15.12,89,4.18,66,RU,1619741487
32,San Andrés,12.5847,-81.7006,82.4,69,5.75,20,CO,1619741488
33,Mil'kovo,54.7167,158.6167,37.27,91,1.28,100,RU,1619741488
34,Aykhal,66.0,111.5,24.82,99,7.25,100,RU,1619741488
35,Ahipara,-35.1667,173.1667,65.25,61,4.47,0,NZ,1619741489
36,Codrington,-38.2667,141.9667,64.4,51,9.69,0,AU,1619741489
37,Poum,-20.2333,164.0167,76.96,56,13.8,59,NC,1619741490
38,Dikson,73.5069,80.5464,0.86,98,6.91,94,RU,1619741490
39,Geraldton,-28.7667,114.6,64.4,82,8.05,90,AU,1619741491
40,Hithadhoo,-0.6,73.0833,83.53,72,7.0,98,MV,1619741491
41,Cocorit,27.5833,-109.9667,86.0,16,18.41,1,MX,1619741491
42,Barra Patuca,15.8,-84.2833,81.05,75,17.94,39,HN,1619741492
43,Ushuaia,-54.8,-68.3,41.0,65,4.61,40,AR,1619741279
44,Barrow,71.2906,-156.7887,21.2,79,8.05,90,US,1619741492
45,Kahului,20.8947,-156.47,82.4,69,18.41,40,US,1619741493
46,Saint-Philippe,-21.3585,55.7679,75.2,78,8.05,41,RE,1619741493
47,Port Elizabeth,-33.918,25.5701,57.0,94,1.01,95,ZA,1619741494
48,Hobart,-42.8794,147.3294,59.0,82,6.91,20,AU,1619741418
49,New Norfolk,-42.7826,147.0587,57.99,91,2.8,54,AU,1619741494
50,Shanghai,31.2222,121.4581,71.01,60,6.71,0,CN,1619741464
51,Tautira,-17.7333,-149.15,87.8,58,3.44,40,PF,1619741495
52,Okhotsk,59.3833,143.3,37.27,78,0.63,72,RU,1619741496
53,Avarua,-21.2078,-159.775,84.2,84,10.36,75,CK,1619741496
54,Vila Velha,-20.3297,-40.2925,71.6,83,11.5,75,BR,1619741497
55,Sinnamary,5.3833,-52.95,76.05,89,8.28,100,GF,1619741497
56,Lebu,-37.6167,-73.65,55.53,93,6.73,98,CL,1619741497
57,Lavrentiya,65.5833,-171.0,27.48,68,4.56,29,RU,1619741498
58,The Valley,18.217,-63.0578,79.0,78,9.22,20,AI,1619741262
59,Bethel,41.3712,-73.414,68.0,77,9.22,90,US,1619741498
60,Kupang,-10.1667,123.5833,79.79,81,6.98,56,ID,1619741499
61,Tegul'det,57.3064,88.1667,44.76,92,10.45,100,RU,1619741499
62,Torbay,47.6666,-52.7314,41.0,81,5.75,1,CA,1619741500
63,Matara,5.9485,80.5353,76.93,90,5.82,90,LK,1619741473
64,Province of Trapani,37.8333,12.6667,62.6,88,10.36,0,IT,1619741500
65,Inírida,3.8653,-67.9239,71.96,99,0.87,100,CO,1619741501
66,Rocha,-34.4833,-54.3333,55.67,83,3.89,0,UY,1619741501
67,Izhma,65.0083,53.9113,30.7,63,4.27,53,RU,1619741501
68,Saint Paul Harbor,57.79,-152.4072,41.0,81,6.91,90,US,1619741502
69,Saskylakh,71.9167,114.0833,31.06,91,8.46,100,RU,1619741502
70,Phuket,8.0,98.25,84.99,94,1.14,20,TH,1619741503
71,Lubumbashi,-11.6609,27.4794,65.61,85,2.82,89,CD,1619741503
72,Anadyr,64.75,177.4833,21.2,79,11.18,0,RU,1619741503
73,Cidreira,-30.1811,-50.2056,65.08,76,6.11,0,BR,1619741504
74,Arraial do Cabo,-22.9661,-42.0278,71.6,88,6.91,40,BR,1619741504
75,Saint-Pierre,-21.3393,55.4781,75.2,78,8.05,6,RE,1619741505
76,Mataura,-46.1927,168.8643,54.0,77,15.01,100,NZ,1619741505
77,Hilo,19.7297,-155.09,82.4,61,11.5,20,US,1619741327
78,Qaqortoq,60.7167,-46.0333,35.6,80,3.44,20,GL,1619741506
79,Conakry,9.538,-13.6773,80.6,83,6.29,20,GN,1619741506
80,Nikolskoye,59.7035,30.7861,32.0,69,1.99,0,RU,1619741507
81,Jalingo,8.8833,11.3667,80.02,65,3.38,71,NG,1619741507
82,Atambua,-9.1061,124.8925,78.04,74,2.62,46,ID,1619741508
83,Hasaki,35.7333,140.8333,68.0,49,9.22,20,JP,1619741508
84,Lorengau,-2.0226,147.2712,84.67,69,4.0,56,PG,1619741508
85,Bilibino,68.0546,166.4372,23.4,79,6.04,99,RU,1619741509
86,Amga,60.8953,131.9608,37.29,97,5.03,99,RU,1619741509
87,Mampong,7.0627,-1.4001,74.44,83,5.55,100,GH,1619741510
88,Khrebtovaya,56.7032,104.2494,33.03,70,2.77,46,RU,1619741510
89,Ekenäs,59.9736,23.4339,30.99,87,7.96,6,FI,1619741511
